,year,month,day,temp,wind,humidity,barometer,visibility,Elec_kW,Gas_mxm,cum_power
2502,2018,12,26,0.9148936170212766,6.0,87.72340425531915,1032.063829787234,8.734775031335541,13.0,19.0,4.0
2503,2018,12,27,1.434782608695652,4.934782608695652,79.56521739130434,1026.804347826087,10.803221675258229,14.0,16.0,2.0
2504,2018,12,28,1.4130434782608696,6.804347826086956,93.15217391304348,1029.6521739130435,4.695652173913044,14.0,18.0,1.0
2505,2018,12,29,6.297872340425532,15.702127659574469,90.27659574468085,1031.276595744681,6.488259511954864,18.0,15.0,1.0
2506,2018,12,30,8.170212765957446,11.829787234042554,91.04255319148936,1033.3829787234042,9.216798060195808,16.0,13.0,1.0
2507,2019,1,1,7.75,17.958333333333332,83.22916666666667,1031.8333333333333,8.742090196369388,16.0,13.0,1.0
2508,2019,1,2,6.022222222222222,13.244444444444444,69.22222222222223,1038.111111111111,12.601908954510229,16.0,15.0,1.0
2509,2019,1,3,5.125,8.458333333333334,82.10416666666667,1040.1458333333333,10.706885294554082,14.0,13.0,3.0
2510,2019,1,4,4.729166666666667,11.6875,85.3125,1038.4791666666667,9.655163970915563,21.0,17.0,1.0
2511,2019,1,5,6.425531914893617,16.680851063829788,93.29787234042553,1034.212765957447,7.080334856172234,17.0,15.0,0.0
2512,2019,1,6,5.434782608695652,9.543478260869565,88.82608695652173,1034.3695652173913,8.322708504035562,18.0,14.0,0.0
2513,2019,1,7,7.041666666666667,12.375,92.77083333333333,1030.7291666666667,5.3714071078795085,16.0,14.0,1.0
2514,2019,1,8,7.413043478260869,29.152173913043477,77.8695652173913,1020.7608695652174,10.894668606489153,15.0,16.0,1.0
2515,2019,1,9,4.9787234042553195,16.70212765957447,74.80851063829788,1021.9574468085107,11.833079912734066,17.0,16.0,4.0
2516,2019,1,10,3.425531914893617,7.276595744680851,78.80851063829788,1027.3829787234042,12.071893992732043,20.0,17.0,2.0
2517,2019,1,11,6.3478260869565215,15.217391304347826,92.97826086956522,1025.9347826086957,6.8418246804776865,19.0,15.0,2.0
2518,2019,1,12,7.409090909090909,19.59090909090909,88.93181818181819,1020.2045454545455,9.150462032402968,16.0,13.0,0.0
2519,2019,1,13,9.355555555555556,25.68888888888889,89.66666666666667,1009.4222222222222,8.348269608085602,12.0,13.0,2.0
2520,2019,1,14,6.673913043478261,19.108695652173914,81.34782608695652,1015.695652173913,10.645417008071119,17.0,14.0,2.0
2521,2019,1,15,6.212765957446808,16.76595744680851,84.0,1019.1914893617021,10.731831226932457,18.0,15.0,2.0
2522,2019,1,16,6.304347826086956,21.76086956521739,80.8913043478261,1008.804347826087,10.42165364490925,14.0,16.0,1.0
2523,2019,1,17,4.354166666666667,17.8125,88.0,1006.1458333333334,9.124275980610372,18.0,17.0,2.0
2524,2019,1,18,0.34782608695652173,7.739130434782608,95.8913043478261,1018.6739130434783,5.863193158577263,14.0,20.0,4.0
2525,2019,1,19,-1.1914893617021276,10.191489361702128,86.53191489361703,1014.8297872340426,12.668378097640598,16.0,18.0,6.0
2526,2019,1,20,-2.0454545454545454,7.0227272727272725,78.97727272727273,1016.9090909090909,15.398509692562964,11.0,20.0,5.0
2527,2019,1,21,-2.125,4.75,80.16666666666667,1021.75,14.169180330909631,11.0,21.0,6.0
2528,2019,1,22,-1.1818181818181819,13.75,84.56818181818181,1005.9772727272727,8.045454545454545,13.0,22.0,1.0
2529,2019,1,23,-0.6136363636363636,10.590909090909092,84.1590909090909,999.8409090909091,7.732757085621012,18.0,22.0,2.0
2530,2019,1,24,0.3333333333333333,6.311111111111111,86.46666666666667,1010.9555555555555,5.288888888888889,18.0,18.0,2.0
2531,2019,1,25,0.9130434782608695,12.282608695652174,97.26086956521739,1013.6521739130435,2.0434782608695654,14.0,20.0,1.0
2532,2019,1,26,7.111111111111111,18.4,94.73333333333333,1005.0888888888888,6.043293268041748,19.0,16.0,2.0
2533,2019,1,27,6.222222222222222,23.244444444444444,87.84444444444445,987.7333333333333,9.556313333663084,15.0,15.0,1.0
2534,2019,1,28,3.9361702127659575,26.48936170212766,86.2127659574468,998.3829787234042,9.357293366968388,13.0,18.0,3.0
2535,2019,1,29,2.021276595744681,13.191489361702128,79.2127659574468,1002.6170212765958,14.085469149094026,13.0,19.0,5.0
2536,2019,1,30,0.9565217391304348,10.847826086956522,87.71739130434783,993.6304347826087,9.808467583243544,19.0,21.0,2.0
2537,2019,2,1,2.297872340425532,8.27659574468085,92.80851063829788,988.1489361702128,6.23404255319149,18.0,18.0,2.0
2538,2019,2,2,2.851063829787234,10.148936170212766,94.06382978723404,999.2765957446809,4.23404255319149,14.0,17.0,2.0
